model,perturbation method,source split,example_id,label,hypothesis,original premise,perturbed premise
bart,adjrel,matched,639,0,"If the industry comes, it will foster the creation of better schools.",yeah maybe the maybe they'll bring their good schools with them  you know if the industry comes,"yeah maybe the maybe they'll bring their schools, which are good, with them  you know if the industry comes"
bart,adjrel,matched,818,1,All of the great bazaars are bustling at all times. ,"Then you're ready for the fray, either in the bustling great bazaars such as Delhi's Chandni Chowk or Mumbai's Bhuleshwar, or the more sedate ambience of grander shops and showrooms.","Then you're ready for the fray, either in the bazaars, which are bustling and great, such as Delhi's Chandni Chowk or Mumbai's Bhuleshwar, or the more ambience, which is sedate, of grander shops and showrooms."
bart,adjrel,matched,1518,2,There aren't any tabloid publications sold in Europe.,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.","Britain's best-tabloid, which is selling, the Sun , announced as a -page, which is front, world Friday, which is exclusive, that Texan model Jerry Hall has started divorce proceedings against rock star, which is aging, Mick Jagger at the High Court in London."
bart,adjrel,matched,1765,0,Not many rulers had any hesitation in submitting to Fujiwara.,Very few emperors were reluctant to submit to Fujiwara domination.,"Very emperors, which are few, were reluctant to submit to Fujiwara domination."
bart,adjrel,matched,2256,2,"As the Globe gets sleazier, the respectable media becomes less so.","Consider the Globe : As the respectable media have become sleazy, the Globe has become sleazier.","Consider the Globe : As the media, which are respectable, have become sleazy, the Globe has become sleazier."
bart,adjrel,matched,5846,0,The woman gave the book a high rating with her review.,"[W]e have a book worthy of its subject--graceful, astonishingly well researched, yet imbued with a sense of flow that is rarely achieved at this level of scholarship, says Daphne Merkin in the New York Times Book Review . (See Sarah Kerr's review in Slate.)","[W]e have a book, which is worthy, of its subject, which is graceful--, astonishingly well researched, yet imbued with a sense of flow that is rarely achieved at this level of scholarship, says Daphne Merkin in the New York Times Book Review . (See Sarah Kerr's review in Slate.)"
bart,adjrel,matched,6189,1,Evacuation is always the first line of response. ,"What's needed, alongside an evacuation plan, is a realistic program to stabilize conditions for those left behind.","What's needed, alongside an evacuation plan, is a program, which is realistic, to stabilize conditions for those left behind."
bart,adjrel,matched,6943,1,Most corporations use atechnical facilitators.,One large multinational corporation uses atechnical facilitators- to support its initiatives.,"One corporation, which is large and multinational, uses facilitators-, which is atechnical, to support its initiatives."
bart,adjrel,matched,7353,1,The best budget policy is yet to be invented.,"In particular, the model provides a useful framework for assessing the long-term implications of alternative budget policies through their effect on national saving.","In particular, the model provides a framework, which is useful, for assessing the -term, which is long, implications of budget policies, which are alternative, through their effect on saving, which is national."
bart,adjrel,mismatched,7863,2,Only a twisted mind would read crude meanings into such terms.,It does not take a too-wicked mind to read into such terms meanings of a lewd nature.,"It does not take a too-mind, which is wicked, to read into terms, which are such, meanings of a nature, which is lewd."
bart,adjrel,mismatched,8182,2,I didn't know which threat to pursue.,"As the lead pilot explained, I reverted to the Russian threat.","As the lead pilot explained, I reverted to the threat, which is Russian."
bart,adjrel,mismatched,8394,0,Proponents of Latin education find the vocabulary-building argument a potent one.,The vocabulary-building argument is a potent one for proponents of Latin education.,"The -argument, which is building, is a one, which is potent, for proponents of education, which is Latin."
bart,adjrel,mismatched,9138,1,There are many older speakers.,"There are many other, lesser factors at work, but taken together, all tend toward standardization, especially as the older speakers die off.","There are , factors, which are many, other and lesser, at work, but taken together, all tend toward standardization, especially as the speakers, which are older, die off."
bart,adjrel,mismatched,9171,0,Daisy means is from old English and means durges days's' and eage eye,"Daisy is a combination of the Old English words, durges `day's' + eage `eye'.","Daisy is a combination of the words, which are English, durges `day's' + eage `eye'."
bart,adjrel,mismatched,9664,2,Rubbish dumps have more diverse and beautiful eco-systems than Audubon Nature Centers.,The Audubon Nature Centers are among the most serene and pristine places on Earth.,"The Audubon Nature Centers are among the most serene and places, which are pristine, on Earth."
bart,adjrel,mismatched,11275,1,Crossword games are a testament of the versatility and flexibility of linguistic synonymy.,"Admittedly, there is no such thing as perfect synonymy, but the meanings of many pairs of words are close enough for this term to be used in the context of a pastime like crosswords.","Admittedly, there is no thing, which is such, as synonymy, which is perfect, but the meanings of pairs, which are many, of words are close enough for this term to be used in the context of a pastime like crosswords."
bart,adjrel,mismatched,11817,2,A brief article that explains the best places to travel.," a short article about someone or something in a dictionary or encyclopedia,.","a article, which is short, about someone or something in a dictionary or encyclopedia,."
bart,adjrel,mismatched,12619,0,Private support from alumni and friends has been able to keep us afloat.,"In a time when higher education, and graduate programs in particular, are suffering from a lack of funding, we are positioning ourselves to remain in a leadership position with outstanding faculty, students, and private support from alumni and friends of the program.","In a time when education, which is higher, and graduate programs in particular, are suffering from a lack of funding, we are positioning ourselves to remain in a leadership position with faculty, which is outstanding, students, and support, which is private, from alumni and friends of the program."
bart,adjrel,mismatched,12751,2,American schools have a more positive attitude towards children who seek help than you will see at an Israeli kibbutz.,"Were you to visit a school on an Israeli kibbutz (cooperative agricultural settlement), you would find an explicit emphasis on cooperation and avoidance of pupil comparisons, and a far more positive attitude toward children who seek help than is common in American schools.","Were you to visit a school on an (settlement, which is kibbutz, cooperative and agricultural), you would find an emphasis, which is explicit, on cooperation and avoidance of pupil comparisons, and a far more attitude, which is positive, toward children who seek help than is common in schools, which are American."
bart,adjrel,mismatched,13037,1,"Over-arching, society-wide psychological illnesses are hard to avoid.","metapsychosis One of the finest of traps for the knowledgeable  it has nothing to do with some over-arching, society-wide psychological illness like alcoholism or jogging.","metapsychosis One of the finest of traps for the knowledgeable  it has nothing to do with some over-, society-illness, which is arching, wide and psychological, like alcoholism or jogging."
bart,adjrel,mismatched,14928,1,The FAA lost normal contact with the flight early on.,This was the last normal contact the FAA had with the flight.,"This was the contact, which is last and normal, the FAA had with the flight."
bart,passive,matched,77,0,"Poirot gave them the answers in perfect order, like a robot.","Poirot answered them categorically, almost mechanically. ",Them was answered by Poirot.
bart,passive,matched,136,0,The H-2A worker is being forced to leave the country.,The H-2A worker must depart the country and is subject to deportation for failing to do so.,The country was departed by the H-2A worker.
bart,passive,matched,152,0,HCFA didn't identify any other executive order.,"In its submission, HCFA did not identify any other statute or executive order imposing procedural requirements relevant to the rule.",Any other statute or executive order imposing procedural requirements relevant to the rule was identified by HCFA.
bart,passive,matched,208,2,"I entered the shack through the hole in the ceiling.  It was abandoned, and smelled musty and odd.","I entered her shack, opening the painted door covered in runes of warding.",Her shack was entered by I.
bart,passive,matched,280,2,Someone else carries a bag for them.,with little back packs of their own and you know things like that,Things like that was known by you.
bart,passive,matched,351,0,You have no trust when it comes to me. ,"But you would not trust me.""","Me was trusted by you"""
bart,passive,matched,352,0,The rates could go up by 13 during a Postal Service increase.,Postal Service could increase those same rates by at least 13.,Those same rates was increased by Postal Service.
bart,passive,matched,634,0,The people will be approaching from the south.,We know they will have to come from the south but that gives them a space as wide as the town in which to launch their attack.,A space as wide as the town in which to launch their attack was given by that.
bart,passive,matched,639,0,"If the industry comes, it will foster the creation of better schools.",yeah maybe the maybe they'll bring their good schools with them  you know if the industry comes,Their good schools was brought by they.
bart,passive,matched,764,0,The proposed rule was changed after AMS saw the comments.,"As a result of the comments received, AMS changed the proposed rule and it was republished for comment in March 2000.",The proposed rule was changed by AMS.
bart,passive,matched,832,0,I know single moms who wouldn't be able to afford it.,uh well no i just know i know several single mothers who absolutely can't afford it they have to go with the a single uh what i mean a babysitter more more or less,A babysitter was meant by i.
bart,passive,matched,916,1,Many were sad to see the Brahmanic ritual change.,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.,A new warmth was brought by the bhakti movement of the Tamils.
bart,passive,matched,1084,0,Barnam puffed out his chest when Jon looked at him.,"As Jon looked at him, Barnam puffed out his chest.",His chest was puffed by Barnam.
